account_id,account_name,segment,industry,arr,seats_licensed,seats_active,contract_start_date,renewal_date,tenure_months,csm,health_score,status,churn_date,crm_churn_reason
ACC-1122,Clearpoint Health,Mid-Market,Education,38400,174,91,2024-11-22,2026-12-12,22,Brittney Cole,89,active,,
ACC-1123,Wayfarer Labs,Mid-Market,Financial Services,24500,183,144,2026-02-15,2027-06-10,7,Brittney Cole,96,active,,
ACC-1124,Pinecrest Networks,Mid-Market,Healthcare,21900,59,31,2023-06-01,2027-03-12,40,Owen Trask,68,active,,
ACC-1125,Quarry Capital,Mid-Market,Retail,35000,49,12,2024-12-22,2026-05-21,21,Leila Haddad,57,churned,2026-05-21,
ACC-1126,Trellis Group,SMB,Retail,20000,23,14,2024-01-27,2027-09-08,32,Caick Moreira,49,active,,
ACC-1127,Quarry Holdings,Mid-Market,Energy,67500,80,49,2025-05-21,2026-10-13,16,Shairyar Khan,68,active,,
ACC-1128,Windrow Capital,SMB,Healthcare,11900,29,28,2023-11-28,2026-11-12,34,Shairyar Khan,53,active,,
ACC-1129,Stonebridge Partners,SMB,Manufacturing,13900,14,8,2023-07-01,2026-12-12,39,Brittney Cole,72,active,,
ACC-1130,Vantage Group,Mid-Market,Media,40800,152,48,2025-03-22,2026-11-12,18,Caick Moreira,61,active,,
ACC-1131,Eastbrook Health,Mid-Market,Manufacturing,55500,168,73,2025-07-20,2025-12-17,14,Brittney Cole,60,churned,2025-12-17,Price
ACC-1132,Drexel Systems,Mid-Market,Professional Services,52700,184,153,2023-02-01,2027-05-11,44,Caick Moreira,60,active,,
ACC-1133,Halcyon Group,Mid-Market,Energy,47900,107,45,2023-11-28,2027-03-12,34,Shairyar Khan,90,active,,
ACC-1134,Clearpoint Solutions,Mid-Market,Financial Services,36000,83,41,2025-10-18,2026-07-30,11,Caick Moreira,61,churned,2026-07-30,Lack of adoption
ACC-1135,Vantage Dynamics,SMB,Logistics,11500,22,12,2023-12-28,2026-11-12,33,Nuala Byrne,70,active,,
ACC-1136,Halcyon Industries,Mid-Market,Retail,60400,93,24,2023-01-02,2026-11-12,45,Leila Haddad,72,active,,
ACC-1137,Quarry Logistics,Mid-Market,Media,53700,112,64,2023-06-01,2026-11-12,40,Caick Moreira,69,active,,
ACC-1138,Quarry Solutions,Mid-Market,Manufacturing,65300,70,12,2024-06-25,2027-04-11,27,Nuala Byrne,77,active,,
ACC-1139,Dunmore Software,Enterprise,Retail,124700,687,534,2023-09-29,2027-04-11,36,Owen Trask,84,active,,
ACC-1140,Beacon Hill Industries,Mid-Market,Manufacturing,42100,192,79,2026-04-16,2027-04-11,5,Owen Trask,82,active,,
ACC-1141,Oakline Logistics,Mid-Market,Logistics,51500,178,151,2025-07-20,2027-04-11,14,Brittney Cole,54,active,,
ACC-1142,Brightwater Software,Mid-Market,Manufacturing,44800,72,64,2025-08-19,2027-07-10,13,Leila Haddad,75,active,,
ACC-1143,Redstone Robotics,Mid-Market,Energy,48700,116,107,2022-12-03,2026-12-12,46,Owen Trask,74,active,,
ACC-1144,Pinecrest Labs,Mid-Market,Education,76500,96,70,2025-03-22,2027-09-08,18,Caick Moreira,58,active,,
ACC-1145,Ferncliff Labs,Mid-Market,Financial Services,60600,117,51,2023-06-01,2027-04-11,40,Caick Moreira,97,active,,
ACC-1146,Meridian Networks,SMB,Logistics,7400,33,8,2023-01-02,2025-11-22,45,Nuala Byrne,39,churned,2025-11-22,Lack of adoption
ACC-1147,Oakline Financial,Enterprise,Education,185700,543,269,2024-03-27,2025-07-26,30,Shairyar Khan,68,churned,2025-07-26,Budget cut
ACC-1148,Copperfield Industries,Mid-Market,Financial Services,59100,79,73,2025-12-17,2027-09-08,9,Shairyar Khan,47,active,,
ACC-1149,Amberline Dynamics,Enterprise,Energy,360600,69,64,2024-11-22,2027-07-10,22,Caick Moreira,51,active,,
ACC-1150,Dunmore Dynamics,SMB,Financial Services,17500,32,22,2025-09-18,2026-06-28,12,Brittney Cole,87,churned,2026-06-28,Merger/Acquisition
ACC-1151,Fairhaven Group,Mid-Market,Financial Services,73800,129,92,2023-02-01,2026-11-12,44,Nuala Byrne,70,active,,
ACC-1152,Pinecrest Systems,Mid-Market,Manufacturing,46800,88,67,2025-02-20,2027-02-10,19,Caick Moreira,82,active,,
ACC-1153,Halcyon Analytics,Mid-Market,Healthcare,44300,148,61,2025-07-20,2027-09-08,14,Leila Haddad,94,active,,
ACC-1154,Quarry Media,SMB,Healthcare,15900,16,10,2023-11-28,2027-08-09,34,Owen Trask,93,active,,
ACC-1155,Ferncliff Holdings,Mid-Market,Education,29000,103,75,2023-07-31,2027-05-11,38,Brittney Cole,52,active,,
ACC-1156,Junction Logistics,Mid-Market,Healthcare,68400,25,8,2022-11-03,2026-10-13,47,Brittney Cole,92,active,,
ACC-1157,Ironvale Robotics,SMB,Professional Services,19800,33,32,2026-01-16,2026-06-15,8,Caick Moreira,63,churned,2026-06-15,Budget cut
ACC-1158,Foxglove Capital,Enterprise,Media,359900,196,59,2022-12-03,2027-03-12,46,Shairyar Khan,52,active,,
ACC-1159,Northgate Systems,SMB,Education,14400,37,12,2023-12-28,2027-04-11,33,Caick Moreira,97,active,,
ACC-1160,Kestrel Media,Mid-Market,Manufacturing,34400,37,24,2026-04-16,2026-10-13,5,Nuala Byrne,73,active,,
ACC-1161,Trellis Financial,Mid-Market,Energy,28400,94,39,2026-02-15,2027-09-08,7,Nuala Byrne,81,active,,
ACC-1162,Dunmore Financial,Mid-Market,Media,23700,171,124,2024-12-22,2026-12-12,21,Shairyar Khan,85,active,,
ACC-1163,Foxglove Holdings,Mid-Market,Logistics,44500,96,34,2024-03-27,2027-06-10,30,Caick Moreira,75,active,,
ACC-1164,Halcyon Robotics,Mid-Market,Healthcare,53400,54,23,2024-03-27,2027-02-10,30,Shairyar Khan,58,active,,
ACC-1165,Eastbrook Technologies,Enterprise,Media,295600,677,518,2024-05-26,2026-07-18,28,Nuala Byrne,59,churned,2026-07-18,Other
ACC-1166,Larkspur Industries,SMB,Education,6600,15,14,2026-05-16,2026-11-12,4,Nuala Byrne,92,active,,
ACC-1167,Foxglove Software,Mid-Market,Education,38500,112,26,2024-07-25,2027-05-11,26,Caick Moreira,74,active,,
ACC-1168,Copperfield Media,Enterprise,Retail,317200,76,57,2025-03-22,2027-07-10,18,Nuala Byrne,82,active,,
ACC-1169,Oakline Capital,Mid-Market,Education,50000,187,149,2025-02-20,2027-03-12,19,Leila Haddad,61,active,,
ACC-1170,Vantage Partners,SMB,Healthcare,6100,37,6,2023-10-29,2026-10-13,35,Leila Haddad,78,active,,
ACC-1171,Drexel Partners,SMB,Manufacturing,4200,12,8,2025-03-22,2025-12-09,18,Brittney Cole,88,churned,2025-12-09,
ACC-1172,Brightwater Holdings,SMB,Financial Services,19600,4,2,2023-07-31,2027-09-08,38,Brittney Cole,88,active,,
ACC-1173,Bluestem Financial,Enterprise,Professional Services,160800,422,197,2023-08-30,2027-04-11,37,Shairyar Khan,50,active,,
ACC-1174,Windrow Health,SMB,Manufacturing,15900,8,4,2023-01-02,2027-04-11,45,Leila Haddad,80,active,,
ACC-1175,Beacon Hill Media,Mid-Market,Education,54000,44,14,2024-08-24,2026-10-13,25,Caick Moreira,59,active,,
ACC-1176,Granite Robotics,Mid-Market,Professional Services,30800,100,27,2026-03-17,2027-01-11,6,Brittney Cole,82,active,,
ACC-1177,Pinecrest Capital,SMB,Energy,8600,11,2,2023-07-31,2027-09-08,38,Brittney Cole,91,active,,
ACC-1178,Larkspur Capital,SMB,Media,3500,20,6,2024-09-23,2027-05-11,24,Shairyar Khan,76,active,,
ACC-1179,Foxglove Health,SMB,Professional Services,16600,7,1,2024-11-22,2026-06-07,22,Caick Moreira,62,churned,2026-06-07,
ACC-1180,Meridian Systems,SMB,Professional Services,9100,20,12,2024-01-27,2026-07-11,32,Brittney Cole,57,churned,2026-07-11,Budget cut
ACC-1181,Stonebridge Robotics,Enterprise,Logistics,331000,454,417,2023-04-02,2026-01-25,42,Owen Trask,57,churned,2026-01-25,
ACC-1182,Granite Industries,Mid-Market,Energy,23800,131,106,2025-08-19,2027-02-10,13,Caick Moreira,75,active,,
ACC-1183,Fairhaven Software,Enterprise,Energy,82200,465,387,2024-10-23,2027-07-10,23,Shairyar Khan,69,active,,
ACC-1184,Tallgrass Industries,Mid-Market,Logistics,32100,100,97,2022-10-04,2026-02-02,48,Caick Moreira,89,churned,2026-02-02,Merger/Acquisition
ACC-1185,Amberline Networks,Enterprise,Education,143900,618,593,2023-06-01,2027-06-10,40,Leila Haddad,46,active,,
ACC-1186,Harborview Health,SMB,Professional Services,14400,11,7,2024-03-27,2027-01-11,30,Shairyar Khan,61,active,,
ACC-1187,Alderwood Capital,Mid-Market,Media,45100,29,26,2022-10-04,2027-03-12,48,Owen Trask,89,active,,
ACC-1188,Vantage Logistics,Mid-Market,Manufacturing,60600,122,62,2023-01-02,2027-03-12,45,Brittney Cole,95,active,,
ACC-1189,Cinderpath Holdings,Mid-Market,Media,54500,134,97,2022-10-04,2027-05-11,48,Nuala Byrne,94,active,,
ACC-1190,Alderwood Analytics,Mid-Market,Media,27000,56,45,2025-12-17,2027-03-12,9,Shairyar Khan,74,active,,
ACC-1191,Clearpoint Software,SMB,Financial Services,8400,22,15,2024-01-27,2025-08-26,32,Leila Haddad,79,churned,2025-08-26,Competitor
ACC-1192,Cobalt Robotics,Enterprise,Professional Services,216400,533,163,2023-07-01,2027-04-11,39,Shairyar Khan,85,active,,
ACC-1193,Wayfarer Capital,Enterprise,Media,145900,830,196,2025-04-21,2026-11-12,17,Nuala Byrne,81,active,,
ACC-1194,Summit Ridge Labs,SMB,Energy,12000,23,14,2023-10-29,2027-07-10,35,Caick Moreira,70,active,,
ACC-1195,Cobalt Industries,SMB,Media,4400,11,8,2023-05-02,2026-04-24,41,Shairyar Khan,81,churned,2026-04-24,Lack of adoption
ACC-1196,Tallgrass Capital,Mid-Market,Retail,58100,197,57,2023-10-29,2026-12-12,35,Nuala Byrne,80,active,,
ACC-1197,Beacon Hill Partners,Enterprise,Education,388400,577,327,2024-05-26,2027-04-11,28,Shairyar Khan,88,active,,
ACC-1198,Brightwater Financial,Mid-Market,Healthcare,33500,93,57,2024-12-22,2026-01-02,21,Owen Trask,53,churned,2026-01-02,Price
ACC-1199,Eastbrook Networks,Mid-Market,Logistics,65600,132,102,2026-03-17,2027-04-11,6,Caick Moreira,51,active,,
ACC-1200,Silverbrook Networks,SMB,Energy,10500,10,8,2025-12-17,2027-01-11,9,Leila Haddad,58,active,,
ACC-1201,Tallgrass Technologies,SMB,Retail,12700,37,15,2026-02-15,2027-06-10,7,Caick Moreira,55,active,,
ACC-1202,Clearpoint Partners,SMB,Logistics,18600,20,17,2024-03-27,2026-12-12,30,Nuala Byrne,89,active,,
ACC-1203,Bluestem Labs,Mid-Market,Retail,47100,182,107,2024-05-26,2026-11-12,28,Leila Haddad,70,active,,
ACC-1204,Beacon Hill Solutions,Mid-Market,Media,63900,137,119,2025-12-17,2027-09-08,9,Shairyar Khan,67,active,,
ACC-1205,Granite Solutions,SMB,Manufacturing,12300,11,4,2024-08-24,2027-05-11,25,Brittney Cole,95,active,,
ACC-1206,Brightwater Analytics,SMB,Financial Services,10500,3,2,2025-07-20,2027-04-11,14,Leila Haddad,57,active,,
ACC-1207,Granite Health,SMB,Healthcare,4400,13,6,2025-01-21,2025-10-08,20,Leila Haddad,36,churned,2025-10-08,Lack of adoption
ACC-1208,Ironvale Partners,Mid-Market,Education,60800,22,16,2023-08-30,2026-03-02,37,Brittney Cole,49,churned,2026-03-02,Competitor
ACC-1209,Meridian Analytics,Enterprise,Financial Services,361900,200,198,2024-06-25,2026-12-12,27,Brittney Cole,86,active,,
